B,H,L,E,blk,density_nominal,density_actual,t_flex,t_sdpa,speedup,winner
1,8,512,256,128,1.0,1.0,0.17315839529037474,0.08381440043449402,0.4840331321732511,sdpa
1,8,512,256,128,0.5,0.375,0.23598079681396483,0.08376320004463196,0.35495769645471015,sdpa
1,8,512,256,128,0.125,0.1875,0.2516479969024658,0.08376320004463196,0.3328586004087966,sdpa
1,8,512,256,128,0.01,0.0,0.2525696039199829,0.08391680121421814,0.33225217885206804,sdpa
1,8,512,256,128,0.005,0.0,0.2614272117614746,0.0838591992855072,0.3207745617622242,sdpa
1,8,512,256,128,5e-05,0.0,0.2559999942779541,0.08417279720306396,0.3287999964237212,sdpa
1,8,1024,256,128,1.0,1.0,0.3585455894470215,0.30313920974731445,0.845469080277464,sdpa
1,8,1024,256,128,0.5,0.4375,0.2573312044143677,0.30295040607452395,1.177278157011607,flex
1,8,1024,256,128,0.125,0.078125,0.2513920068740845,0.3028831958770752,1.2048242887403389,flex
1,8,1024,256,128,0.01,0.03125,0.25180160999298096,0.30248959064483644,1.2013012571812722,flex
1,8,1024,256,128,0.005,0.0,0.25915839672088625,0.302838397026062,1.1685455723521054,flex
1,8,1024,256,128,5e-05,0.0,0.2495055913925171,0.30294079780578614,1.2141643644739242,flex
1,8,4096,256,128,1.0,1.0,4.169728088378906,3.9410175323486327,0.9451497672791439,sdpa
1,8,4096,256,128,0.5,0.5146484375,2.393446350097656,4.0256000518798825,1.6819261696488965,flex
1,8,4096,256,128,0.125,0.1240234375,1.366528034210205,4.004812622070313,2.9306479792673437,flex
1,8,4096,256,128,0.01,0.01171875,1.0620415687561036,3.951206588745117,3.720387887804518,flex
1,8,4096,256,128,0.005,0.0068359375,1.0555328369140624,3.961804962158203,3.753369695007185,flex
1,8,4096,256,128,5e-05,0.0,1.0300800323486328,3.971731185913086,3.855750098230081,flex
1,8,8192,256,128,1.0,1.0,15.920225524902344,15.675596618652344,0.9846340803484629,sdpa
1,8,8192,256,128,0.5,0.49755859375,8.963072204589844,15.6621826171875,1.7474123001226243,flex
1,8,8192,256,128,0.125,0.120849609375,4.780601501464844,15.898931884765625,3.3257178787844937,flex
1,8,8192,256,128,0.01,0.01025390625,3.6917247772216797,15.745484924316406,4.265075506567462,flex
1,8,8192,256,128,0.005,0.003173828125,3.6145999908447264,15.847372436523438,4.38426727069734,flex
1,8,8192,256,128,5e-05,0.0,3.5866622924804688,15.813069152832032,4.408853653711571,flex
1,8,10112,256,128,1.0,1.0,24.685403442382814,25.809268188476562,1.045527501655661,flex
1,8,10112,256,128,0.5,0.4987982511520386,13.7380859375,25.695950317382813,1.8704170605922747,flex
1,8,10112,256,128,0.125,0.12706297636032104,7.287137603759765,25.558055114746093,3.5072831754349654,flex
1,8,10112,256,128,0.01,0.0115366131067276,5.497548675537109,25.52755126953125,4.643442518867232,flex
1,8,10112,256,128,0.005,0.004005768336355686,5.386131286621094,25.593959045410156,4.751826066509814,flex
1,8,10112,256,128,5e-05,0.0,5.33201904296875,25.687191772460938,4.8175356399625455,flex
